Image,PR_EV,SR_EV,MB_EV,BR_EV,trial_num,,,,,,,,
north,-0.048,0.2,0.2,-1,2,,10,apple.png, ,tophat.png, ,planet.png,Get to PLANET for 100 points!
bell,-0.048,0.2,0.2,-1,3,,4,houses.png, ,snorkel.png, ,planet.png,Get to PLANET for 100 points!
train,-0.048,0.2,0.2,-1,4,,1,train.png, ,compass.png, ,planet.png,Get to PLANET for 100 points!
snorkel,-0.048,0.2,0.2,-1,5,,9,hammer.png, ,north.png, ,trident.png,Get to TRIDENT for 100 points!
tophat,-0.048,0.2,0.2,-1,6,,3,north.png, ,compass.png, ,planet.png,Get to PLANET for 100 points!
tree,-0.048,0.2,0.2,-1,1,,8,north.png, ,apple.png, ,trident.png,Get to TRIDENT for 100 points!
Houses (low),0.12,0.6,0.6,1,10,,6,snorkel.png, ,houses.png, ,planet.png,Get to PLANET for 100 points!
Compass (low),0.048,0.6,0.6,-1,9,,2,houses.png, ,tophat.png, ,planet.png,Get to PLANET for 100 points!
Apple (high),0.048,0.6,0.6,-1,8,,7,tophat.png, ,hammer.png, ,planet.png,Get to PLANET for 100 points!
hammer (high),0.12,0.6,0.6,1,7,,5,compass.png, ,train.png, ,planet.png,Get to PLANET for 100 points!
hammer.png,0,0,1,-1,11,,12,north.png, ,apple.png, ,trident.png,Get to TRIDENT for 100 points!
compass.png,0,0,1,-1,14,,14,apple.png, ,tophat.png, ,planet.png,Get to PLANET for 100 points!
houses.png,0,0,1,1,13,,11,tophat.png, ,hammer.png, ,planet.png,Get to PLANET for 100 points!
apple.png,0,0,1,1,12,,13,hammer.png, ,north.png, ,trident.png,Get to TRIDENT for 100 points!