s1_image,Next Image,Probability
planet.png,train.png,0.225
planet.png,snorkel.png,0.225
planet.png,window.png,0.044
planet.png,north.png,0.225
planet.png,tophat.png,0.225
planet.png,houses.png,0.025
planet.png,compass.png,0.031
planet.png,bell.png,0.45
planet.png,tree.png,0.45
planet.png,unicorn.png,0.044
planet.png,watch.png,0.056
trident.png,tophat.png,0.15
trident.png,snorkel.png,0.15
trident.png,hammer.png,0.197
trident.png,apple.png,0.194
trident.png,north.png,0.15
trident.png,train.png,0.15
trident.png,compass.png,0.006
trident.png,houses.png,0.003
trident.png,bell.png,0.3
trident.png,tree.png,0.3
trident.png,fox.png,0.392
trident.png,watch.png,0.008