sub,totals
610898813e48dc2864965122_study6_2023-08-17_20h08.28.061.csv,0.6
5study6_2023-08-14_17h32.16.918.csv,0.6
5study6_2023-08-17_19h12.47.437.csv,0.6
5d42486206811e001ada5b4b_study6_2023-08-17_20h08.46.532.csv,0.6
596a3b32670f410001fe95d9_study6_2023-08-14_12h21.00.716.csv,0.6
5c4594514fe4f800016ea070_study6_2023-08-14_17h30.25.786.csv,0.6
6405feae7d6321bfaaf793e8_study6_2023-08-14_11h32.41.583.csv,0.4
5study6_2023-08-14_15h33.38.394.csv,0.6
5f3e6a07e06e71069f919082_study6_2023-08-14_18h05.53.885.csv,0.6
5ff1e9e97e067a6157742ad3_study6_2023-08-14_12h11.58.522.csv,0.6
642d964d8bab7323494e3570_study6_2023-08-17_16h14.02.177.csv,0.2
5study6_2023-08-14_15h13.11.431.csv,0.6
5e3723a2c0b2896ad554be73_study6_2023-08-14_15h13.20.648.csv,0.6
5608a73fd7def20012b7389d_study6_2023-08-17_17h09.53.164.csv,0.6