s1_image,s2_image,s3_image,action1,action2
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
snorkel.png,watch.png,trident.png,1,k
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
hammer.png,fox.png,trident.png,6,k
snorkel.png,watch.png,trident.png,1,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
train.png,watch.png,trident.png,2,k
houses.png,tree.png,bell.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
train.png,watch.png,trident.png,2,k
train.png,watch.png,trident.png,2,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
train.png,watch.png,trident.png,2,k
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
train.png,watch.png,trident.png,2,k
houses.png,tree.png,bell.png,3,k
snorkel.png,tree.png,planet.png,1,a
snorkel.png,tree.png,planet.png,1,a
snorkel.png,watch.png,bell.png,1,a
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
houses.png,tree.png,bell.png,3,k
train.png,tree.png,planet.png,2,a
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
train.png,watch.png,trident.png,2,k
apple.png,fox.png,trident.png,5,k
hammer.png,fox.png,trident.png,6,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,bell.png,2,k
compass.png,watch.png,trident.png,4,k
train.png,watch.png,trident.png,2,k
train.png,tree.png,planet.png,2,a
train.png,tree.png,planet.png,2,a
houses.png,tree.png,bell.png,3,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,tree.png,bell.png,4,k
compass.png,tree.png,bell.png,4,k
train.png,tree.png,planet.png,2,a
houses.png,tree.png,bell.png,3,k
snorkel.png,watch.png,trident.png,1,k
snorkel.png,tree.png,planet.png,1,a
compass.png,tree.png,bell.png,4,k
houses.png,tree.png,bell.png,3,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
houses.png,tree.png,bell.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
snorkel.png,tree.png,planet.png,1,a
hammer.png,fox.png,trident.png,6,k
train.png,tree.png,planet.png,2,a
apple.png,fox.png,trident.png,5,k
apple.png,fox.png,trident.png,5,k
hammer.png,fox.png,trident.png,6,k
compass.png,tree.png,bell.png,4,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
train.png,watch.png,trident.png,2,k
snorkel.png,watch.png,trident.png,1,k
train.png,tree.png,planet.png,2,a
houses.png,tree.png,bell.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
snorkel.png,watch.png,trident.png,1,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
snorkel.png,watch.png,trident.png,1,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
houses.png,tree.png,bell.png,3,k
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
compass.png,tree.png,bell.png,4,k
compass.png,tree.png,bell.png,4,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
snorkel.png,watch.png,trident.png,1,k
houses.png,watch.png,trident.png,3,k
train.png,watch.png,trident.png,2,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
houses.png,tree.png,bell.png,3,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
snorkel.png,watch.png,trident.png,1,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
snorkel.png,watch.png,trident.png,1,k
compass.png,watch.png,trident.png,4,k
snorkel.png,watch.png,trident.png,1,k
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
snorkel.png,watch.png,trident.png,1,k
compass.png,tree.png,bell.png,4,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
train.png,tree.png,planet.png,2,a
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
train.png,tree.png,planet.png,2,a
train.png,tree.png,planet.png,2,a
snorkel.png,tree.png,planet.png,1,a
hammer.png,fox.png,trident.png,6,k
houses.png,tree.png,bell.png,3,k
compass.png,tree.png,bell.png,4,k
houses.png,tree.png,bell.png,3,k
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
train.png,watch.png,trident.png,2,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
train.png,tree.png,planet.png,2,a
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
train.png,watch.png,trident.png,2,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
train.png,watch.png,trident.png,2,k
snorkel.png,tree.png,planet.png,1,a
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
train.png,watch.png,trident.png,2,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
snorkel.png,watch.png,trident.png,1,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
train.png,tree.png,planet.png,2,a
train.png,tree.png,planet.png,2,a
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
apple.png,fox.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
compass.png,tree.png,bell.png,4,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
train.png,tree.png,planet.png,2,a
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,bell.png,1,k
train.png,tree.png,planet.png,2,a
compass.png,tree.png,bell.png,4,k
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
compass.png,tree.png,bell.png,4,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
compass.png,tree.png,bell.png,4,k
compass.png,tree.png,bell.png,4,k
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
compass.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
train.png,tree.png,planet.png,2,a
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
train.png,tree.png,planet.png,2,a
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
hammer.png,fox.png,trident.png,6,k
snorkel.png,tree.png,bell.png,1,k
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
apple.png,fox.png,trident.png,5,k
snorkel.png,watch.png,bell.png,1,a
snorkel.png,watch.png,trident.png,1,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
train.png,watch.png,trident.png,2,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
apple.png,fox.png,trident.png,5,k
compass.png,watch.png,trident.png,4,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
compass.png,tree.png,bell.png,4,k
snorkel.png,watch.png,trident.png,1,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
compass.png,tree.png,bell.png,4,k
hammer.png,fox.png,trident.png,6,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
train.png,tree.png,bell.png,2,k
hammer.png,fox.png,trident.png,6,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
apple.png,fox.png,trident.png,5,k
train.png,tree.png,planet.png,2,a
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
train.png,watch.png,bell.png,2,a
snorkel.png,tree.png,planet.png,1,a
snorkel.png,tree.png,planet.png,1,a
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
apple.png,fox.png,trident.png,5,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
train.png,watch.png,bell.png,2,a
compass.png,tree.png,bell.png,4,k
train.png,tree.png,planet.png,2,a
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
snorkel.png,watch.png,trident.png,1,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
train.png,tree.png,planet.png,2,a
apple.png,fox.png,trident.png,5,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
snorkel.png,watch.png,trident.png,1,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
hammer.png,fox.png,trident.png,6,k
train.png,tree.png,planet.png,2,a
train.png,tree.png,planet.png,2,a
snorkel.png,tree.png,planet.png,1,a
houses.png,tree.png,bell.png,3,k
apple.png,fox.png,trident.png,5,k
hammer.png,fox.png,trident.png,6,k
train.png,watch.png,trident.png,2,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
compass.png,tree.png,bell.png,4,k
snorkel.png,tree.png,planet.png,1,a
hammer.png,fox.png,trident.png,6,k
apple.png,fox.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
train.png,tree.png,planet.png,2,a
compass.png,watch.png,trident.png,4,k
compass.png,watch.png,trident.png,4,k
houses.png,tree.png,bell.png,3,k
snorkel.png,tree.png,planet.png,1,a
train.png,tree.png,planet.png,2,a
train.png,tree.png,planet.png,2,a
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
houses.png,watch.png,trident.png,3,k
compass.png,tree.png,bell.png,4,k
train.png,tree.png,planet.png,2,a
houses.png,watch.png,trident.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
snorkel.png,tree.png,planet.png,1,a
apple.png,fox.png,trident.png,5,k
train.png,watch.png,trident.png,2,k
compass.png,watch.png,trident.png,4,k
compass.png,tree.png,bell.png,4,k
compass.png,tree.png,bell.png,4,k
train.png,tree.png,planet.png,2,a
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
houses.png,watch.png,trident.png,3,k
apple.png,fox.png,trident.png,5,k
snorkel.png,tree.png,planet.png,1,a
houses.png,watch.png,trident.png,3,k
houses.png,tree.png,bell.png,3,k
compass.png,watch.png,trident.png,4,k
houses.png,watch.png,trident.png,3,k
