s1_image,s2_image,s3_image,action1,action2
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,planet.png,2,d
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
train.png,tree.png,planet.png,1,d
window.png,unicorn.png,planet.png,9,j
train.png,tree.png,trident.png,1,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
north.png,bell.png,planet.png,3,j
apple.png,fox.png,trident.png,8,j
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,planet.png,6,j
snorkel.png,bell.png,trident.png,4,d
houses.png,watch.png,trident.png,5,d
train.png,tree.png,planet.png,1,d
hammer.png,fox.png,trident.png,7,j
train.png,tree.png,planet.png,1,d
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,trident.png,4,d
houses.png,watch.png,planet.png,5,j
north.png,bell.png,trident.png,3,d
tophat.png,tree.png,planet.png,2,d
window.png,unicorn.png,planet.png,9,d
snorkel.png,bell.png,trident.png,4,d
north.png,bell.png,planet.png,3,j
train.png,tree.png,planet.png,1,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
snorkel.png,bell.png,planet.png,4,j
snorkel.png,bell.png,trident.png,4,d
compass.png,watch.png,trident.png,6,d
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,trident.png,6,d
north.png,bell.png,trident.png,3,d
compass.png,watch.png,planet.png,6,j
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,trident.png,5,d
tophat.png,tree.png,planet.png,2,d
snorkel.png,bell.png,planet.png,4,j
houses.png,watch.png,trident.png,5,d
window.png,unicorn.png,planet.png,9,j
snorkel.png,bell.png,trident.png,4,d
compass.png,watch.png,trident.png,6,d
hammer.png,fox.png,trident.png,7,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,trident.png,6,d
snorkel.png,bell.png,planet.png,4,j
snorkel.png,bell.png,planet.png,4,j
north.png,bell.png,planet.png,3,j
north.png,bell.png,planet.png,3,j
train.png,tree.png,planet.png,1,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
tophat.png,tree.png,planet.png,2,d
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,planet.png,2,d
north.png,bell.png,trident.png,3,d
compass.png,watch.png,planet.png,6,j
window.png,unicorn.png,planet.png,9,d
apple.png,fox.png,trident.png,8,j
north.png,bell.png,planet.png,3,j
train.png,tree.png,trident.png,1,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,planet.png,6,j
window.png,unicorn.png,planet.png,9,j
snorkel.png,bell.png,trident.png,4,d
train.png,tree.png,planet.png,1,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,planet.png,6,j
tophat.png,tree.png,trident.png,2,j
houses.png,watch.png,planet.png,5,j
tophat.png,tree.png,planet.png,2,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,trident.png,6,d
hammer.png,fox.png,trident.png,7,j
houses.png,watch.png,planet.png,5,j
window.png,unicorn.png,planet.png,9,d
compass.png,watch.png,trident.png,6,d
north.png,bell.png,trident.png,3,d
compass.png,watch.png,trident.png,6,d
train.png,tree.png,trident.png,1,j
apple.png,fox.png,trident.png,8,j
snorkel.png,bell.png,planet.png,4,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,trident.png,6,d
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
north.png,bell.png,trident.png,3,d
tophat.png,tree.png,planet.png,2,d
window.png,unicorn.png,planet.png,9,j
snorkel.png,bell.png,trident.png,4,d
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
snorkel.png,bell.png,trident.png,4,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
north.png,bell.png,planet.png,3,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
train.png,tree.png,planet.png,1,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,trident.png,5,d
tophat.png,tree.png,trident.png,2,j
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,planet.png,4,j
houses.png,watch.png,trident.png,5,d
tophat.png,tree.png,planet.png,2,d
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,planet.png,6,j
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,planet.png,6,j
train.png,tree.png,planet.png,1,d
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,trident.png,5,d
window.png,unicorn.png,planet.png,9,d
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,planet.png,5,j
train.png,tree.png,trident.png,1,j
window.png,unicorn.png,planet.png,9,j
houses.png,watch.png,trident.png,5,d
hammer.png,fox.png,trident.png,7,j
tophat.png,tree.png,trident.png,2,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,planet.png,6,j
tophat.png,tree.png,planet.png,2,d
north.png,bell.png,planet.png,3,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
houses.png,watch.png,planet.png,5,j
north.png,bell.png,trident.png,3,d
snorkel.png,bell.png,planet.png,4,j
houses.png,watch.png,planet.png,5,j
train.png,tree.png,planet.png,1,d
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,trident.png,1,j
compass.png,watch.png,trident.png,6,d
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,trident.png,6,d
window.png,unicorn.png,planet.png,9,d
apple.png,fox.png,trident.png,8,j
train.png,tree.png,trident.png,1,j
snorkel.png,bell.png,planet.png,4,j
houses.png,watch.png,trident.png,5,d
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
snorkel.png,bell.png,planet.png,4,j
snorkel.png,bell.png,trident.png,4,d
train.png,tree.png,trident.png,1,j
compass.png,watch.png,planet.png,6,j
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,planet.png,6,j
train.png,tree.png,planet.png,1,d
window.png,unicorn.png,planet.png,9,j
houses.png,watch.png,trident.png,5,d
train.png,tree.png,planet.png,1,d
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,trident.png,4,d
window.png,unicorn.png,planet.png,9,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
snorkel.png,bell.png,planet.png,4,j
train.png,tree.png,planet.png,1,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,planet.png,6,j
snorkel.png,bell.png,planet.png,4,j
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
train.png,tree.png,planet.png,1,d
compass.png,watch.png,trident.png,6,d
snorkel.png,bell.png,trident.png,4,d
tophat.png,tree.png,trident.png,2,j
houses.png,watch.png,trident.png,5,d
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,trident.png,6,d
north.png,bell.png,planet.png,3,j
train.png,tree.png,planet.png,1,d
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,trident.png,6,d
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,planet.png,6,j
north.png,bell.png,planet.png,3,j
snorkel.png,bell.png,planet.png,4,j
train.png,tree.png,trident.png,1,j
window.png,unicorn.png,planet.png,9,j
houses.png,watch.png,planet.png,5,j
window.png,unicorn.png,planet.png,9,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,planet.png,5,j
train.png,tree.png,planet.png,1,d
houses.png,watch.png,trident.png,5,d
apple.png,fox.png,trident.png,8,j
window.png,unicorn.png,planet.png,9,j
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
window.png,unicorn.png,planet.png,9,d
compass.png,watch.png,planet.png,6,j
north.png,bell.png,planet.png,3,j
compass.png,watch.png,planet.png,6,j
window.png,unicorn.png,planet.png,9,j
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
hammer.png,fox.png,trident.png,7,j
train.png,tree.png,trident.png,1,j
north.png,bell.png,trident.png,3,d
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,planet.png,5,j
hammer.png,fox.png,trident.png,7,j
window.png,unicorn.png,planet.png,9,d
houses.png,watch.png,trident.png,5,d
snorkel.png,bell.png,planet.png,4,j
apple.png,fox.png,trident.png,8,j
tophat.png,tree.png,trident.png,2,j
hammer.png,fox.png,trident.png,7,j
snorkel.png,bell.png,trident.png,4,d
houses.png,watch.png,trident.png,5,d
tophat.png,tree.png,trident.png,2,j
tophat.png,tree.png,trident.png,2,j
north.png,bell.png,trident.png,3,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
train.png,tree.png,trident.png,1,j
window.png,unicorn.png,planet.png,9,j
tophat.png,tree.png,planet.png,2,d
compass.png,watch.png,planet.png,6,j
hammer.png,fox.png,trident.png,7,j
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,planet.png,6,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,planet.png,6,j
north.png,bell.png,planet.png,3,j
houses.png,watch.png,planet.png,5,j
tophat.png,tree.png,planet.png,2,d
window.png,unicorn.png,planet.png,9,d
apple.png,fox.png,trident.png,8,j
north.png,bell.png,planet.png,3,j
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,planet.png,6,j
hammer.png,fox.png,trident.png,7,j
snorkel.png,bell.png,trident.png,4,d
train.png,tree.png,planet.png,1,d
tophat.png,tree.png,planet.png,2,d
train.png,tree.png,planet.png,1,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
train.png,tree.png,planet.png,1,d
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,trident.png,6,d
hammer.png,fox.png,trident.png,7,j
tophat.png,tree.png,planet.png,2,d
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,trident.png,6,d
snorkel.png,bell.png,trident.png,4,d
train.png,tree.png,trident.png,1,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
north.png,bell.png,trident.png,3,d
north.png,bell.png,planet.png,3,j
train.png,tree.png,planet.png,1,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,planet.png,2,d
snorkel.png,bell.png,planet.png,4,j
north.png,bell.png,trident.png,3,d
hammer.png,fox.png,trident.png,7,j
snorkel.png,bell.png,planet.png,4,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,planet.png,6,j
snorkel.png,bell.png,trident.png,4,d
train.png,tree.png,trident.png,1,j
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,trident.png,6,d
hammer.png,fox.png,trident.png,7,j
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,trident.png,5,d
north.png,bell.png,trident.png,3,d
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,trident.png,5,d
hammer.png,fox.png,trident.png,7,j
apple.png,fox.png,trident.png,8,j
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,trident.png,1,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,trident.png,1,j
compass.png,watch.png,trident.png,6,d
north.png,bell.png,planet.png,3,j
window.png,unicorn.png,planet.png,9,j
north.png,bell.png,planet.png,3,j
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,trident.png,6,d
window.png,unicorn.png,planet.png,9,d
snorkel.png,bell.png,trident.png,4,d
compass.png,watch.png,trident.png,6,d
window.png,unicorn.png,planet.png,9,j
snorkel.png,bell.png,planet.png,4,j
apple.png,fox.png,trident.png,8,j
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,planet.png,6,j
houses.png,watch.png,trident.png,5,d
train.png,tree.png,trident.png,1,j
tophat.png,tree.png,planet.png,2,d
tophat.png,tree.png,trident.png,2,j
hammer.png,fox.png,trident.png,7,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,planet.png,5,j
north.png,bell.png,trident.png,3,d
window.png,unicorn.png,planet.png,9,d
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,trident.png,2,j
snorkel.png,bell.png,planet.png,4,j
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
window.png,unicorn.png,planet.png,9,j
train.png,tree.png,planet.png,1,d
train.png,tree.png,trident.png,1,j
houses.png,watch.png,trident.png,5,d
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,planet.png,5,j
hammer.png,fox.png,trident.png,7,j
hammer.png,fox.png,trident.png,7,j
houses.png,watch.png,trident.png,5,d
hammer.png,fox.png,trident.png,7,j
north.png,bell.png,planet.png,3,j
snorkel.png,bell.png,trident.png,4,d
snorkel.png,bell.png,trident.png,4,d
north.png,bell.png,trident.png,3,d
train.png,tree.png,trident.png,1,j
houses.png,watch.png,trident.png,5,d
apple.png,fox.png,trident.png,8,j
north.png,bell.png,trident.png,3,d
tophat.png,tree.png,trident.png,2,j
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
hammer.png,fox.png,trident.png,7,j
north.png,bell.png,planet.png,3,j
train.png,tree.png,planet.png,1,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,trident.png,5,d
north.png,bell.png,trident.png,3,d
train.png,tree.png,trident.png,1,j
apple.png,fox.png,trident.png,8,j
north.png,bell.png,trident.png,3,d
snorkel.png,bell.png,planet.png,4,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
apple.png,fox.png,trident.png,8,j
tophat.png,tree.png,trident.png,2,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,planet.png,2,d
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,trident.png,5,d
hammer.png,fox.png,trident.png,7,j
north.png,bell.png,trident.png,3,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,trident.png,6,d
north.png,bell.png,trident.png,3,d
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,planet.png,2,d
tophat.png,tree.png,trident.png,2,j
apple.png,fox.png,trident.png,8,j
hammer.png,fox.png,trident.png,7,j
window.png,unicorn.png,planet.png,9,d
north.png,bell.png,trident.png,3,d
houses.png,watch.png,trident.png,5,d
north.png,bell.png,planet.png,3,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,trident.png,5,d
window.png,unicorn.png,planet.png,9,j
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,planet.png,4,j
window.png,unicorn.png,planet.png,9,d
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
hammer.png,fox.png,trident.png,7,j
snorkel.png,bell.png,planet.png,4,j
apple.png,fox.png,trident.png,8,j
compass.png,watch.png,trident.png,6,d
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,planet.png,6,j
train.png,tree.png,trident.png,1,j
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,planet.png,4,j
hammer.png,fox.png,trident.png,7,j
compass.png,watch.png,trident.png,6,d
train.png,tree.png,planet.png,1,d
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,planet.png,4,j
houses.png,watch.png,trident.png,5,d
north.png,bell.png,planet.png,3,j
hammer.png,fox.png,trident.png,7,j
north.png,bell.png,planet.png,3,j
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,planet.png,2,d
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,planet.png,5,j
compass.png,watch.png,trident.png,6,d
window.png,unicorn.png,planet.png,9,j
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,planet.png,6,j
tophat.png,tree.png,planet.png,2,d
compass.png,watch.png,trident.png,6,d
window.png,unicorn.png,planet.png,9,d
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,planet.png,2,d
apple.png,fox.png,trident.png,8,j
train.png,tree.png,planet.png,1,d
tophat.png,tree.png,trident.png,2,j
snorkel.png,bell.png,planet.png,4,j
houses.png,watch.png,planet.png,5,j
tophat.png,tree.png,planet.png,2,d
houses.png,watch.png,planet.png,5,j
houses.png,watch.png,planet.png,5,j
north.png,bell.png,planet.png,3,j
apple.png,fox.png,trident.png,8,j
houses.png,watch.png,planet.png,5,j
train.png,tree.png,planet.png,1,d
north.png,bell.png,planet.png,3,j
window.png,unicorn.png,planet.png,9,j
compass.png,watch.png,trident.png,6,d
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d
snorkel.png,bell.png,planet.png,4,j
hammer.png,fox.png,trident.png,7,j
houses.png,watch.png,trident.png,5,d
north.png,bell.png,planet.png,3,j
tophat.png,tree.png,planet.png,2,d
north.png,bell.png,trident.png,3,d
compass.png,watch.png,trident.png,6,d
window.png,unicorn.png,planet.png,9,d
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,trident.png,4,d
houses.png,watch.png,trident.png,5,d
houses.png,watch.png,planet.png,5,j
snorkel.png,bell.png,trident.png,4,d
apple.png,fox.png,trident.png,8,j
north.png,bell.png,planet.png,3,j
houses.png,watch.png,trident.png,5,d
compass.png,watch.png,planet.png,6,j
compass.png,watch.png,planet.png,6,j
train.png,tree.png,trident.png,1,j
tophat.png,tree.png,trident.png,2,j
compass.png,watch.png,trident.png,6,d
compass.png,watch.png,trident.png,6,d